"geo","sex","year","values"
"EU27","F",2013,16.7884615384615
"EU27","F",2014,17.2730769230769
"EU27","F",2015,18.8
"EU27","F",2016,19.7230769230769
"EU27","F",2017,20.9307692307692
"EU27","F",2018,22.2576923076923
"EU27","F",2019,22.3307692307692
"EU27","F",2020,22.85
"EU27","F",2021,22.9153846153846
"EU27","F",2022,24.4192307692308
"EU27","F",2023,22.65
"EU27","F",2024,22.45
"EU27","M",2013,10.8769230769231
"EU27","M",2014,11.2384615384615
"EU27","M",2015,12.2307692307692
"EU27","M",2016,13.0269230769231
"EU27","M",2017,14.0884615384615
"EU27","M",2018,15.2038461538462
"EU27","M",2019,15.5807692307692
"EU27","M",2020,16.1076923076923
"EU27","M",2021,15.8076923076923
"EU27","M",2022,17.0961538461538
"EU27","M",2023,16.2884615384615
"EU27","M",2024,16.4923076923077
"HR","F",2013,26.6
"HR","F",2014,24.6
"HR","F",2015,28.7
"HR","F",2016,29.5
"HR","F",2017,31.7
"HR","F",2018,31.3
"HR","F",2019,33.6
"HR","F",2020,34.6
"HR","F",2021,37
"HR","F",2022,36.5
"HR","F",2023,38.8
"HR","F",2024,40.1
"HR","M",2013,18.6
"HR","M",2014,20.8
"HR","M",2015,22.8
"HR","M",2016,21.9
"HR","M",2017,24.1
"HR","M",2018,23.5
"HR","M",2019,24.9
"HR","M",2020,25.8
"HR","M",2021,25.9
"HR","M",2022,26.6
"HR","M",2023,29.3
"HR","M",2024,32.7
